symbol,name,industry,price_date,market_price,fair_value,upside,pe_ratio,eps,nav_per_share,roe_annual
4442,竣邦-KY,紡織纖維,2026-02-06,55.8,145.1010736261876,160.03776635517494,0.0,3.98,24.11,66.03069265864787
2420,新巨,電子零組件業,2026-02-06,50.2,130.34510259818555,159.65159880116641,13.68,2.72,24.59,44.2456283041887
8415,大國鋼,鋼鐵工業,2026-02-06,34.05,88.37912705644213,159.5569076547493,0.0,2.35,25.81,36.41999225106548
9941,裕融,其他業,2026-02-06,78.7,203.83928621638407,159.00798756846768,12.15,5.8,57.73,40.18707777585311
3357,臺慶科,電子零組件業,2026-02-06,146.5,379.1286601881934,158.7908943264119,0.0,7.84,73.77,42.51050562559306
7704,明遠精密,半導體業,2026-02-06,44.6,115.40285449338661,158.75079482822107,0.0,1.35,33.4,16.167664670658684
3617,碩天,其他電子業,2026-02-06,188.0,486.28534599154233,158.6624180806076,10.03,11.6,96.52,48.07293825113966
1102,亞泥,水泥工業,2026-02-06,35.5,91.7689148513792,158.5039854968428,10.6,2.42,49.06,19.730941704035875
8255,朋程,電機機械,2026-02-06,126.5,325.51958505889365,157.32773522442184,0.0,4.64,76.58,24.236092974667013
2393,億光,光電業,2026-02-06,58.8,151.1952451679323,157.13477069376245,11.31,3.34,42.96,31.098696461824954
6203,海韻電,電子零組件業,2026-02-06,63.8,163.9450718600789,156.96719727285097,0.0,3.28,35.45,37.00987306064879
6016,康和證,金融保險業,2026-02-06,15.75,40.42163841085513,156.64532324352464,0.0,1.11,15.52,28.608247422680417
3630,新鉅科,光電業,2026-02-06,33.25,85.33236346791422,156.63868712154652,0.0,2.19,15.13,57.89821546596167
6212,理銘,建材營造業,2026-02-06,37.8,96.99482820241343,156.60007460955936,0.0,3.26,35.84,36.38392857142856
3213,茂訊,電腦及週邊設備業,2026-02-06,98.5,252.68079095192027,156.52872177859928,0.0,6.08,68.33,35.59198009659008
4571,鈞興-KY,電機機械,2026-02-06,174.0,445.7449291738326,156.17524665162793,17.94,7.33,55.67,52.667504939823964
3130,一零四,數位雲端,2026-02-06,223.5,571.3949210090824,155.65768277811293,15.57,11.96,48.73,98.17360968602506
4746,台耀,生技醫療業,2026-02-06,56.1,143.4067188937001,155.62694989964365,28.05,2.44,63.36,15.404040404040403
3702,大聯大,電子通路業,2026-02-06,63.0,160.90467612643076,155.40424781973138,11.91,4.07,44.8,36.339285714285715
1714,和桐,化學工業,2026-02-06,9.12,23.282797368364243,155.29383079346758,21.21,0.37,11.84,12.5
2945,三商家購,貿易百貨業,2026-02-06,42.05,107.33592384674775,155.2578450576641,21.02,1.44,28.03,20.54941134498751
1720,生達,生技醫療業,2026-02-06,60.9,155.45080694407366,155.25584063066282,12.18,3.91,33.29,46.981075398017424
6266,泰詠,電子零組件業,2026-02-06,28.55,72.7598665024974,154.85067076181227,0.0,1.45,15.92,36.4321608040201
9931,欣高,油電燃氣業,2026-02-06,33.8,86.08958028778005,154.70290025970434,12.38,1.86,25.93,28.692634014654843
8410,森田,電腦及週邊設備業,2026-02-06,37.5,95.43742562195708,154.4998016585522,0.0,1.54,49.26,12.505075111652458
1103,嘉泥,水泥工業,2026-02-06,13.85,35.24419020033536,154.4706873670423,32.21,0.73,27.67,10.552945428261655
2478,大毅,電子零組件業,2026-02-06,58.2,147.85225327429168,154.04167229259738,16.72,2.53,47.15,21.463414634146343
2474,可成,其他電子業,2026-02-06,200.0,507.96578737674605,153.98289368837303,14.63,7.45,233.45,12.765046048404372
4735,豪展,生技醫療業,2026-02-06,31.95,81.07292013623531,153.74935879885857,0.0,1.73,25.29,27.36259391063662
1341,富林-KY,塑膠工業,2026-02-06,58.9,149.40496205537534,153.65867921116356,14.69,2.32,22.29,41.63301929116196
6741,91APP*-KY,數位雲端,2026-02-06,64.3,163.07217213250132,153.61146521384345,0.0,2.95,26.16,45.10703363914374
2020,美亞,鋼鐵工業,2026-02-06,23.9,60.60551057001313,153.57954213394618,12.51,1.66,16.21,40.96236890808142
1436,華友聯,建材營造業,2026-02-06,58.5,148.34105548995169,153.57445382897723,8.72,6.01,33.91,70.8935417281038
2331,精英,電腦及週邊設備業,2026-02-06,25.25,64.00765613533481,153.49566786271214,21.04,1.44,20.04,28.74251497005988
6411,晶焱,半導體業,2026-02-06,77.6,196.6011359265212,153.35197928675416,0.0,2.46,49.79,19.763004619401485
6176,瑞儀,光電業,2026-02-06,123.5,312.6663805520652,153.1711583417532,10.81,7.41,72.99,40.60830250719277
2745,五福,觀光餐旅,2026-02-06,107.5,271.29724811904725,152.36953313399744,0.0,8.23,26.92,122.28826151560179
2211,長榮鋼,鋼鐵工業,2026-02-06,104.0,261.9334897050822,151.85912471642519,12.28,7.36,64.59,45.57981111627187
3152,璟德,通信網路業,2026-02-06,145.0,364.6846961108967,151.50668697303223,0.0,8.22,57.18,57.502623294858346
4148,全宇生技-KY,生技醫療業,2026-02-06,37.85,95.17541744034025,151.45420724000067,18.46,1.75,37.91,18.464785017145875
2483,百容,電子零組件業,2026-02-06,20.0,50.25310740825078,151.2655370412539,35.71,0.68,23.46,11.594202898550725
4938,和碩,電腦及週邊設備業,2026-02-06,70.3,176.61132779787775,151.22521735117746,14.65,3.42,71.87,19.034367608181437
1777,生泰,生技醫療業,2026-02-06,71.2,178.79555716917423,151.11735557468288,0.0,3.81,55.92,27.253218884120173
5215,科嘉-KY,電腦及週邊設備業,2026-02-06,37.6,94.16240343819065,150.43192403774108,16.21,1.4,53.0,10.566037735849056
3332,幸康,電子零組件業,2026-02-06,60.4,151.15467818690323,150.25608971341592,0.0,2.91,36.51,31.881676253081352
4536,拓凱,運動休閒,2026-02-06,158.0,395.3963985483756,150.25088515719975,8.41,12.08,99.27,48.675329908330816
6201,亞弘電,其他電子業,2026-02-06,53.9,134.83796099682718,150.16319294402075,11.9,3.06,30.54,40.07858546168959
1234,黑松,食品工業,2026-02-06,36.9,92.13901462762642,149.69922663313395,18.83,1.57,46.52,13.49957007738607
6899,創為精密,光電業,2026-02-06,51.8,129.31784534660665,149.64835008997423,0.0,2.65,43.8,24.200913242009133
3694,海華,通信網路業,2026-02-06,57.9,144.4439715466171,149.47145344838876,15.16,3.27,22.3,58.65470852017937
5515,建國,建材營造業,2026-02-06,31.9,79.37447572843202,148.8228079261192,8.22,2.91,24.01,48.47980008329863
6121,新普,電腦及週邊設備業,2026-02-06,339.5,843.5682776607572,148.4737194877046,0.0,21.26,203.34,41.82157962034032
5609,中菲行,航運業,2026-02-06,78.1,193.5358595275784,147.80519785861512,0.0,6.13,40.52,60.51332675222112
6414,樺漢,電腦及週邊設備業,2026-02-06,280.5,694.3629226978936,147.54471397429364,11.86,17.04,179.09,38.0590764420124
2363,矽統,半導體業,2026-02-06,49.15,121.60355926090294,147.41314193469572,34.37,1.46,33.51,17.4276335422262
1618,合機,電器電纜,2026-02-06,43.45,107.41520173652657,147.2156541692211,10.2,3.26,32.47,40.16014782876501
1437,勤益控,其他業,2026-02-06,32.0,78.72571389645037,146.0178559264074,15.24,1.6,40.79,15.690120127482226
1582,信錦,電子零組件業,2026-02-06,67.4,165.67836364074273,145.81359590614647,14.81,2.98,47.43,25.131773139363272
2428,興勤,電子零組件業,2026-02-06,167.0,410.1756649156414,145.6141706081685,14.43,8.43,81.46,41.39454947213356
