symbol,name,industry,price_date,market_price,report_quarter,pe_ratio,value_score,eps_yoy,growth_score,avg_revenue_yoy_3m,momentum_score,op_margin,profit_score,cash_quality,quality_score,equity_to_assets_ratio,safety_score,total_score
4747,強生,生技醫療業,2025-04-28,69.3,2024Q4,0.0,0.0,-16.52,0.0,-8.193333333333333,0.0,16.0614312700866,55.307156350433004,0.7474412467458365,35.348749535119495,87.0,100.0,25.365823359588852
4510,高鋒,電機機械,2025-04-28,44.45,2024Q4,0.0,0.0,8.25,16.5,-15.553333333333335,0.0,4.312754755285135,0.0,1.0315051481014998,75.92930687164284,44.0,60.0,25.310861374328567
3552,同致,其他電子業,2025-04-28,65.2,2024Q4,0.0,0.0,-62.44,0.0,-1.8800000000000001,0.0,0.8606767058441924,0.0,11.50094184048741,100.0,41.0,52.5,25.25
6294,智基,文化創意業,2025-04-28,56.4,2024Q4,0.0,0.0,-81.08,0.0,-1.02,0.0,5.111882862320764,0.5594143116038186,4.197324566375694,100.0,40.0,50.0,25.083912146740573
3049,精金,光電業,2025-04-28,7.1,2024Q4,0.0,0.0,1.79,3.58,14.253333333333332,71.26666666666665,-64.00969972054658,0.0,0.0,0.0,59.6595390782764,99.14884769569102,25.063218102902432
6936,永鴻生技,生技醫療業,2025-04-28,38.9,2024Q4,18.88,50.42194092827005,0.0,0.0,22.863333333333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.042194092827003
2732,六角,觀光餐旅,2025-04-28,91.8,2024Q4,0.0,0.0,-25.39,0.0,-5.3566666666666665,0.0,5.713872122359427,3.5693606117971344,2.1395987154502785,100.0,38.0,45.0,25.03540409176957
3071,協禧,電腦及週邊設備業,2025-04-28,19.75,2024Q4,0.0,0.0,-33.06,0.0,-1.47,0.0,5.708013128014291,3.5400656400714547,1.846635561301928,100.0,38.0,45.0,25.03100984601072
2834,臺企銀,金融保險業,2025-04-28,13.95,2024Q4,11.34,53.898305084745765,6.96,13.919999999999998,1.1466666666666663,5.733333333333332,41.22185034806372,100.0,-2.1606332677179894,0.0,5.53462247206403,0.0,25.016497175141243
6020,大展證,金融保險業,2025-04-28,19.0,2024Q4,0.0,0.0,-44.19,0.0,-106.25,0.0,36.852605044615935,100.0,0.109755495725699,0.0,68.0,100.0,25.0
5907,大洋-KY,貿易百貨業,2025-04-28,7.91,2024Q4,0.0,0.0,75.42,100.0,0.0,0.0,-3.74903204566426,0.0,0.0,0.0,19.7655271672258,0.0,25.0
5864,致和證,金融保險業,2025-04-28,12.55,2024Q4,0.0,0.0,-31.49,0.0,-71.21333333333332,0.0,66.41011522709826,100.0,-0.8246966104059144,0.0,83.0,100.0,25.0
4943,康控-KY,電子零組件業,2025-04-28,11.95,2024Q4,0.0,0.0,56.34,100.0,0.0,0.0,-28.550458473601086,0.0,0.0,0.0,13.4471698251554,0.0,25.0
6903,巨漢,其他電子業,2025-04-28,102.5,2024Q4,0.0,0.0,-31.46,0.0,-47.98333333333333,0.0,25.2185201571398,100.0,-0.8914260811624831,0.0,84.0,100.0,25.0
6264,富裔,建材營造業,2025-04-28,7.7,2024Q4,0.0,0.0,105.1,100.0,-40.843333333333334,0.0,-24.57168260057342,0.0,-22.81849103277675,0.0,18.0,0.0,25.0
6451,訊芯-KY,半導體業,2025-04-28,141.5,2024Q4,353.75,0.0,-90.24,0.0,0.0,0.0,-4.372918272937548,0.0,9.251219054763691,100.0,39.707520855684,49.26880213921,24.926880213921002
