symbol,name,naive_pred_eps,year,market,q2_rev,q2_margin,q2_eps,q3_rev_total,target_eps
2032,新鋼,0.18916318151921793,2024,sii,732348.0,0.03340078760370753,0.19,739200.0,0.01
3059,華晶科,0.4330669932493589,2024,sii,1704446.0,0.06419798573847456,0.28,1880730.0,0.28
3189,景碩,1.04065358125845,2024,sii,7300482.0,0.05768441042659923,0.2,8197120.0,0.41
1437,勤益控,1.4995902244428236,2024,sii,191646.0,1.1335117873579412,1.06,269052.0,0.88
5515,建國,0.4596862585945964,2024,sii,1351810.0,0.08203297800726433,0.44,1412127.0,0.68
3041,揚智,-0.276776957670061,2024,sii,410004.0,-0.12604023375381704,-0.26,428478.0,-0.93
1538,正峰,-0.2628041181749097,2024,sii,27678.0,-0.48543969940024567,-0.25,29147.0,-0.39
2106,建大,0.4303410461441626,2024,sii,9121735.0,0.046639043997660536,0.44,8810823.0,0.19
4104,佳醫,1.5341315860335443,2024,sii,2159513.0,0.12172327742412294,1.42,2059370.0,0.93
6799,來頡,0.6168635738960437,2024,sii,242500.0,0.11911340206185567,0.7,221035.0,0.55
2883,凱基金,,2024,sii,0.0,0.0,0.49,24582014.0,0.73
1438,三地開發,-269.29839239245166,2024,sii,1660.0,-21.083132530120483,-0.39,1164987.0,-0.51
3545,敦泰,0.6208343487255706,2024,sii,2977338.0,0.035720163448019676,0.52,3813063.0,0.79
6449,鈺邦,1.268185270999459,2024,sii,818100.0,0.12242024202420242,1.21,921494.0,1.33
8478,東哥遊艇,3.2172858103754365,2024,sii,1709326.0,0.3050143740866283,5.92,937571.0,1.5
2539,櫻花建,0.0011332143684216892,2024,sii,478608.0,0.14083759569417978,0.08,8000.0,-0.22
3010,華立,2.5585079958672767,2024,sii,21154439.0,0.0309883897181107,2.3,21412935.0,2.77
1455,集盛,0.1023863746306939,2024,sii,2698461.0,0.02291120753644392,0.12,2376027.0,-0.12
1617,榮星,0.23546356216935216,2024,sii,934319.0,0.04426218454296659,0.28,893455.0,-0.13
2241,艾姆勒,-0.45178023758089514,2024,sii,169493.0,-0.2794451688270312,-0.4,169111.0,-0.43
1109,信大,0.4755623193982431,2024,sii,1376035.0,0.15319305104884687,0.55,1059071.0,0.18
6698,旭暉應材,-0.3480519761826044,2024,sii,189458.0,-0.11210400194238301,-0.38,206122.0,-0.29
1308,亞聚,-0.11528757568478315,2024,sii,1494815.0,-0.04812568779414175,-0.12,1422344.0,-0.36
6770,力積電,-0.49431951805170415,2024,sii,11123224.0,-0.176018751397976,-0.47,11650773.0,-0.69
8110,華東,0.04552963329039888,2024,sii,1904760.0,0.011976311976311976,0.12,1968261.0,-0.08
2701,萬企,0.1721880056979272,2024,sii,79504.0,1.0111063594284564,0.18,76628.0,0.26
6753,龍德造船,1.498688615546274,2024,sii,1273105.0,0.1701792075280515,2.01,996349.0,0.83
2440,太空梭,-0.020694185725998467,2024,sii,1108424.0,-0.002966373878587977,-0.02,970518.0,-0.05
5203,訊連,1.059545166542045,2024,sii,530872.0,0.15991802167000707,1.08,523033.0,0.55
6243,迅杰,0.2670231403694783,2024,sii,187375.0,0.06915543695797198,0.29,174792.0,-0.16
2816,旺旺保,1.2877632385834936,2024,sii,2708175.0,0.10917610568002437,1.32,2637520.0,0.65
9937,全國,0.5733582232122678,2024,sii,6030242.0,0.028633842555572397,0.56,6188214.0,0.63
2867,三商壽,0.5136060351621292,2024,sii,35370456.0,0.09214175808194273,0.64,28425055.0,-0.72
2329,華泰,0.4603002981137344,2024,sii,4060360.0,0.08708291875597238,0.5,3914051.0,0.25
1216,統一,1.7985443716959668,2024,sii,162120139.0,0.05711478572073023,1.04,178926642.0,1.08
1423,利華,0.43992483859252746,2024,sii,18129.0,1.4518175299244305,0.26,30195.0,0.32
8046,南電,0.20775209787712126,2024,sii,8120606.0,0.014604451933759623,0.19,9191871.0,0.09
