year,symbol,name,q2_eps,q2_rev,q2_margin,ly_q3_eps,target_eps,rev_m7,rev_m8,rev_m9,rev_yoy_m7
2021,1216,統一,0.95,117335856.0,0.06428114352359605,1.26,1.0,41852623.0,41942340.0,41123727.0,0.033154274356683944
2021,2722,夏都,-0.24,100862.0,-0.28503301540719,0.75,0.04,9488.0,52068.0,54567.0,-0.904825912068291
2021,2360,致茂,1.14,4445386.0,0.11448679597227328,1.39,1.89,1410514.0,1418059.0,1447171.0,-0.11518923659247415
2021,2428,興勤,3.39,1960452.0,0.22395906658260442,3.27,2.94,648222.0,620597.0,646093.0,0.19707260861375486
2021,2425,承啟,-0.31,1553955.0,-0.007045892577326885,0.48,0.39,538355.0,572013.0,655699.0,0.1445132542056511
2021,1466,聚隆,0.5,910132.0,0.061549313725921075,0.48,0.41,342004.0,333540.0,308329.0,0.6047635582165749
2021,2355,敬鵬,0.23,4381593.0,0.02028531632216867,0.06,0.8,1600679.0,1572073.0,1684864.0,0.31030923277919853
2021,3048,益登,1.07,23395117.0,0.01014109055321245,1.03,1.01,8417689.0,9956545.0,10982199.0,-0.13457105143221038
2021,3432,台端,0.05,12802.0,0.26730198406498984,0.04,0.26,2268.0,4331.0,2015.0,-0.483371298405467
2021,2388,威盛,-0.99,1617772.0,-0.24300086786024236,-0.08,-0.7,644246.0,581592.0,650115.0,0.23885837794597253
2021,3029,零壹,0.93,2672217.0,0.04360648854490485,0.93,1.43,925685.0,1740407.0,1606262.0,0.10779019978123872
2021,3045,台灣大,1.01,38421194.0,0.0868126066045735,1.01,1.0,12581487.0,12590601.0,12217554.0,0.21142395684220072
2021,2034,允強,0.71,4430592.0,0.06931963042410585,0.46,0.73,1868463.0,1627102.0,1809602.0,0.9827549431903195
2021,6201,亞弘電,0.59,903803.0,0.05838661743764958,1.42,1.26,372846.0,328339.0,364624.0,0.0552285102962653
2021,2617,台航,0.63,809615.0,0.3235463769816518,0.17,1.16,293374.0,288747.0,277292.0,0.29178188350916745
2021,3004,豐達科,-0.84,311106.0,-0.14263305754308822,-0.23,-0.62,107263.0,118411.0,132902.0,-0.03148532731376974
2021,6449,鈺邦,0.84,710165.0,0.10445037420881063,1.06,0.97,238370.0,239362.0,244759.0,0.05363425803143618
2021,4739,康普,1.14,1824815.0,0.06705282453289786,0.77,1.42,607178.0,616595.0,660216.0,0.13919210491754064
2021,2633,台灣高鐵,0.09,6101721.0,0.08084342106104163,0.3,0.15,840306.0,1621143.0,2146949.0,-0.7502435724514356
2021,1203,味王,0.53,1471991.0,0.11769297502498317,0.56,0.44,494155.0,540451.0,504898.0,0.007654959920554871
2021,1568,倉佑,-0.06,430615.0,-0.01529208225445003,0.21,0.1,149174.0,161997.0,143121.0,-0.03446624249995145
2021,2324,仁寶,0.57,260994034.0,0.010423084996647854,0.51,1.0,107988216.0,102386413.0,126488573.0,0.20292729546163657
2021,5880,合庫金,0.39,,,0.32,0.44,5378780.0,5433338.0,4258318.0,-0.03645377556641338
2021,8072,陞泰,0.04,360802.0,0.02340064633788061,0.13,0.2,127034.0,112540.0,114882.0,0.13207917086255594
2021,2838,聯邦銀,0.42,,,0.35,0.21,1450805.0,1518081.0,1253448.0,-0.04095304136751643
2021,2316,楠梓電,0.6,1253570.0,0.08742870362245427,0.6,0.96,455620.0,459693.0,549586.0,-0.011635978689065185
2021,3413,京鼎,4.58,3006062.0,0.13586978578618805,4.03,4.88,1005223.0,1079572.0,1096825.0,0.03227797340497096
2021,9918,欣天然,0.47,426371.0,0.19653541164854083,0.27,0.06,104273.0,122779.0,117913.0,-0.06558713886300094
2021,1760,寶齡富錦,0.97,533209.0,0.1393956216042865,-0.04,0.77,170936.0,217592.0,140839.0,0.6601208165802304
2021,2820,華票,0.34,,,0.34,0.34,275963.0,218850.0,204315.0,0.07800994558444962
2021,3518,柏騰,0.15,216778.0,0.05570675991106108,-0.05,0.02,61397.0,56438.0,51307.0,-0.021748828909212592
2021,6706,惠特,2.57,1380644.0,0.13437859433713542,1.17,4.49,502284.0,503188.0,506957.0,1.4660326687319878
2021,8215,明基材,0.86,4283121.0,0.06418450471046697,0.36,0.83,1354490.0,1381183.0,1311182.0,0.08320031476618062
2021,1475,業旺,-0.1,38439.0,-0.01584328416452041,0.02,1.21,34187.0,37495.0,63250.0,2.6291932059447984
2021,2108,南帝,5.15,7205177.0,0.3564167819888394,1.65,3.0,1868777.0,1876130.0,1710059.0,0.9410157844498708
