symbol,name,q2_rev,q2_margin,q2_eps,capital,q3_rev_total,target_eps,naive_pred_eps
2884,玉山金,,,0.39,159958000.0,22461447.0,0.52,
2459,敦吉,1271741.0,0.12108283054489868,1.48,1055956.0,1330888.0,1.3,1.5260833422816775
1710,東聯,6496668.0,-0.004943918944295753,0.01,8857031.0,6534374.0,0.06,-0.036474316740805826
1101,台泥,38968848.0,0.0900581408000565,0.25,77511817.0,40759371.0,0.42,0.473568200889903
6605,帝寶,5097758.0,0.15956308636070995,4.9,1658164.0,5058276.0,3.86,4.867516905591404
2882,國泰金,,,2.06,162025102.0,95082015.0,2.12,
2419,仲琦,2438863.0,0.019162207963300933,0.02,3213172.0,1960187.0,0.03,0.11689853808311215
6951,青新-創,157748.0,0.258209295838933,1.0,460000.0,208488.0,1.68,1.1702943406710318
2455,全新,875601.0,0.22935789246471852,1.09,1849059.0,805748.0,0.78,0.9994524952295304
1457,宜進,750205.0,0.08627375184116341,0.25,3167300.0,923144.0,0.65,0.25145422400675327
2915,潤泰全,642456.0,6.000510540799681,3.65,11043188.0,704913.0,3.19,3.8302688379901944
1802,台玻,10975630.0,-0.018346646160630416,-0.06,29080608.0,10125331.0,-0.37,-0.06387963591279183
2009,第一銅,889088.0,0.05947780197235819,0.15,3596222.0,796586.0,0.6,0.1317471067190872
5234,達興材料,1028213.0,0.13979885490652227,1.4,1027159.0,1073460.0,1.3,1.4610053437486834
1721,三晃,607849.0,-0.0661200396809076,-0.22,1848841.0,648094.0,-0.11,-0.23177764338284432
3034,聯詠,25231019.0,0.21356905957702302,8.86,6085115.0,27866327.0,8.64,9.780234640193003
9945,潤泰新,7426936.0,0.6365409638645062,1.55,28442251.0,8573945.0,1.3,1.9188590995914014
9940,信義,4285552.0,0.15973951546965245,0.92,7368465.0,2958101.0,0.55,0.6412809458283297
2491,吉祥全,51252.0,-0.25296573792242255,-0.05,820080.0,51104.0,-0.82,-0.15763780449209203
2375,凱美,1451088.0,0.13374171656026373,1.78,1086753.0,1380374.0,0.96,1.698763088348111
2363,矽統,50158.0,-2.6012600183420393,-0.16,4872331.0,212754.0,1.04,-1.1358597639247872
6928,攸泰科技,572715.0,-0.06526282706057987,-0.49,860000.0,448972.0,-0.35,-0.3407114185004961
6201,亞弘電,841015.0,0.1393768244323823,1.31,892000.0,925761.0,1.23,1.4465204973469359
5525,順天,1938969.0,0.1350253665736791,0.96,2972948.0,642596.0,0.34,0.29185428221004844
1783,和康生,174017.0,0.3432595665940684,0.67,890701.0,173941.0,0.56,0.6703361989370041
6691,洋基工程,3431213.0,0.13230918628485028,3.64,1057571.0,3767422.0,5.24,4.713296215683327
8110,華東,1904760.0,0.011976311976311976,0.12,5177399.0,1968261.0,-0.08,0.04552963329039888
2701,萬企,79504.0,1.0111063594284564,0.18,4499678.0,76628.0,0.26,0.1721880056979272
1304,台聚,13460094.0,-0.04682723612479972,-0.23,11887635.0,12904185.0,-0.62,-0.5083158407817019
