symbol,name,q2_rev,rev_m7,rev_m8,rev_m9,year,q2_eps,q2_margin,ly_q3_eps,rev_yoy_m7,target_eps
6164,華興,238934.0,85627.0,80146.0,87176.0,2021,0.08,0.0340679853013803,-0.11,0.5657651727101505,0.12
3545,敦泰,5772267.0,2019215.0,2135950.0,2117257.0,2021,10.46,0.363650884479183,1.02,0.6638005761295172,9.03
3062,建漢,949420.0,258336.0,300929.0,353157.0,2021,0.03,0.0118693518147921,-0.02,-0.3687837035480505,0.17
2539,櫻花建,980.0,190.0,190.0,1985169.0,2021,-0.08,-47.31938775510204,0.05,-0.999728159784817,0.68
9908,大台北,754167.0,204044.0,245630.0,224354.0,2021,0.35,0.2337426591192667,0.7,-0.1731208766270606,0.54
5388,中磊,10004162.0,3648827.0,3878588.0,3579223.0,2021,0.66,0.0166260802254101,1.12,0.2099287835776131,0.73
2509,全坤建,184750.0,56870.0,35115.0,34467.0,2021,0.06,0.0697374830852503,0.13,-0.2686094963732702,-0.05
2543,皇昌,1987579.0,742951.0,754119.0,682361.0,2021,0.06,0.0089339845108043,0.05,0.4516517291035313,0.11
1216,統一,117335856.0,41852623.0,41942340.0,41123727.0,2021,0.95,0.064281143523596,1.26,0.0331542743566839,1.0
2722,夏都,100862.0,9488.0,52068.0,54567.0,2021,-0.24,-0.28503301540719,0.75,-0.904825912068291,0.04
2360,致茂,4445386.0,1410514.0,1418059.0,1447171.0,2021,1.14,0.1144867959722732,1.39,-0.1151892365924741,1.89
2428,興勤,1960452.0,648222.0,620597.0,646093.0,2021,3.39,0.2239590665826044,3.27,0.1970726086137548,2.94
2425,承啟,1553955.0,538355.0,572013.0,655699.0,2021,-0.31,-0.0070458925773268,0.48,0.1445132542056511,0.39
1466,聚隆,910132.0,342004.0,333540.0,308329.0,2021,0.5,0.061549313725921,0.48,0.6047635582165749,0.41
2355,敬鵬,4381593.0,1600679.0,1572073.0,1684864.0,2021,0.23,0.0202853163221686,0.06,0.3103092327791985,0.8
3048,益登,23395117.0,8417689.0,9956545.0,10982199.0,2021,1.07,0.0101410905532124,1.03,-0.1345710514322103,1.01
3432,台端,12802.0,2268.0,4331.0,2015.0,2021,0.05,0.2673019840649898,0.04,-0.483371298405467,0.26
2388,威盛,1617772.0,644246.0,581592.0,650115.0,2021,-0.99,-0.2430008678602423,-0.08,0.2388583779459725,-0.7
3029,零壹,2672217.0,925685.0,1740407.0,1606262.0,2021,0.93,0.0436064885449048,0.93,0.1077901997812387,1.43
3045,台灣大,38421194.0,12581487.0,12590601.0,12217554.0,2021,1.01,0.0868126066045735,1.01,0.2114239568422007,1.0
2034,允強,4430592.0,1868463.0,1627102.0,1809602.0,2021,0.71,0.0693196304241058,0.46,0.9827549431903196,0.73
6201,亞弘電,903803.0,372846.0,328339.0,364624.0,2021,0.59,0.0583866174376495,1.42,0.0552285102962653,1.26
2617,台航,809615.0,293374.0,288747.0,277292.0,2021,0.63,0.3235463769816518,0.17,0.2917818835091674,1.16
3004,豐達科,311106.0,107263.0,118411.0,132902.0,2021,-0.84,-0.1426330575430882,-0.23,-0.0314853273137697,-0.62
6449,鈺邦,710165.0,238370.0,239362.0,244759.0,2021,0.84,0.1044503742088106,1.06,0.0536342580314361,0.97
4739,康普,1824815.0,607178.0,616595.0,660216.0,2021,1.14,0.0670528245328978,0.77,0.1391921049175406,1.42
2633,台灣高鐵,6101721.0,840306.0,1621143.0,2146949.0,2021,0.09,0.0808434210610416,0.3,-0.7502435724514356,0.15
1203,味王,1471991.0,494155.0,540451.0,504898.0,2021,0.53,0.1176929750249831,0.56,0.0076549599205548,0.44
1568,倉佑,430615.0,149174.0,161997.0,143121.0,2021,-0.06,-0.01529208225445,0.21,-0.0344662424999514,0.1
2324,仁寶,260994034.0,107988216.0,102386413.0,126488573.0,2021,0.57,0.0104230849966478,0.51,0.2029272954616365,1.0
